case_id,scenario,length,run,algorithm,build_time_ms,query_time_ms,total_time_ms,peak_memory_kib,build_peak_memory_kib,query_peak_memory_kib,query_extra_memory_kib,index_size_kib,lcs_length
random_uniform_n100_c1,random_uniform,100,39,Suffix Automaton,0.229,0.0554,0.2844,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,39,Enhanced Suffix Array,0.42,0.0667,0.48669999999999997,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,40,Suffix Automaton,0.2049,0.0707,0.2756,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,40,Enhanced Suffix Array,0.4087,0.0645,0.4732,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,41,Suffix Automaton,0.197,0.0515,0.2485,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,41,Enhanced Suffix Array,0.3917,0.061,0.4527,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,42,Suffix Automaton,0.2024,0.0533,0.2557,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,42,Enhanced Suffix Array,0.3917,0.0622,0.45389999999999997,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,43,Suffix Automaton,0.1825,0.0491,0.2316,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,43,Enhanced Suffix Array,0.4149,0.0677,0.4826,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,44,Suffix Automaton,0.2019,0.0528,0.2547,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,44,Enhanced Suffix Array,0.4072,0.0639,0.4711,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,45,Suffix Automaton,0.3459,0.0607,0.40659999999999996,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,45,Enhanced Suffix Array,0.4313,0.0699,0.5012,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,46,Suffix Automaton,0.1991,0.053,0.2521,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,46,Enhanced Suffix Array,0.4874,0.0719,0.5593,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,47,Suffix Automaton,0.2123,0.0557,0.268,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,47,Enhanced Suffix Array,0.4064,0.0644,0.4708,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,48,Suffix Automaton,0.2484,0.0564,0.3048,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,48,Enhanced Suffix Array,0.3995,0.0641,0.4636,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,49,Suffix Automaton,0.1867,0.0498,0.2365,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,49,Enhanced Suffix Array,0.7283,0.1212,0.8494999999999999,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,50,Suffix Automaton,0.2044,0.053,0.2574,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,50,Enhanced Suffix Array,0.3953,0.0638,0.45909999999999995,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,51,Suffix Automaton,0.1889,0.0505,0.2394,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,51,Enhanced Suffix Array,0.4021,0.0645,0.4666,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,52,Suffix Automaton,0.1989,0.0512,0.2501,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,52,Enhanced Suffix Array,0.4125,0.0638,0.47629999999999995,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,53,Suffix Automaton,0.2269,0.0542,0.2811,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,53,Enhanced Suffix Array,0.3982,0.0642,0.4624,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,54,Suffix Automaton,0.1971,0.0503,0.2474,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,54,Enhanced Suffix Array,0.7451,0.1134,0.8585,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,55,Suffix Automaton,0.2065,0.0532,0.2597,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,55,Enhanced Suffix Array,0.4083,0.0653,0.4736,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,56,Suffix Automaton,0.2054,0.0607,0.2661,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,56,Enhanced Suffix Array,0.4036,0.0652,0.4688,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,57,Suffix Automaton,0.1998,0.0518,0.2516,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
